category,level,region,year,quarter,registered_users
user,pincode,421302,2020,4,365506
user,pincode,500072,2020,4,350832
user,pincode,122001,2020,4,336803
user,pincode,110092,2020,4,335783
user,pincode,110086,2020,4,288308
user,pincode,560078,2020,4,285544
user,pincode,121004,2020,4,283882
user,state,maharashtra,2021,1,37077537
user,state,uttar pradesh,2021,1,29482075
user,state,karnataka,2021,1,24095832
user,state,andhra pradesh,2021,1,18363733
user,state,rajasthan,2021,1,17661088
user,state,telangana,2021,1,17149069
user,state,west bengal,2021,1,16808799
user,state,tamil nadu,2021,1,16632608
user,state,madhya pradesh,2021,1,14839427
user,state,gujarat,2021,1,14670126
user,district,bengaluru urban,2021,1,9955387
user,district,pune,2021,1,6481971
user,district,thane,2021,1,4014464
user,district,jaipur,2021,1,3951866
user,district,mumbai suburban,2021,1,3886500
user,district,hyderabad,2021,1,3379663
user,district,ahmadabad,2021,1,2999575
user,district,rangareddy,2021,1,2906635
user,district,north twenty four parganas,2021,1,2491076
user,district,surat,2021,1,2458596
user,pincode,201301,2021,1,541127
user,pincode,110059,2021,1,454201
user,pincode,560068,2021,1,427525
user,pincode,421302,2021,1,396179
user,pincode,500072,2021,1,375272
user,pincode,122001,2021,1,361360
user,pincode,110092,2021,1,359376
user,pincode,110086,2021,1,310419
user,pincode,121004,2021,1,306230
user,pincode,560078,2021,1,305721
user,state,maharashtra,2021,2,39664697
user,state,uttar pradesh,2021,2,31651894
user,state,karnataka,2021,2,25751023
user,state,andhra pradesh,2021,2,19620905
user,state,rajasthan,2021,2,18980985
user,state,telangana,2021,2,18306880
user,state,west bengal,2021,2,17979979
user,state,tamil nadu,2021,2,17804542
user,state,madhya pradesh,2021,2,15940935
user,state,gujarat,2021,2,15735981
user,district,bengaluru urban,2021,2,10604609
user,district,pune,2021,2,6915820
user,district,thane,2021,2,4290066
user,district,jaipur,2021,2,4226231
user,district,mumbai suburban,2021,2,4151227
user,district,hyderabad,2021,2,3598337
user,district,ahmadabad,2021,2,3209841
user,district,rangareddy,2021,2,3097973
user,district,north twenty four parganas,2021,2,2660664
user,district,surat,2021,2,2633443
user,pincode,201301,2021,2,577428
user,pincode,110059,2021,2,485328
user,pincode,560068,2021,2,455417
user,pincode,421302,2021,2,424376
user,pincode,500072,2021,2,398987
user,pincode,122001,2021,2,385555
user,pincode,110092,2021,2,383095
user,pincode,110086,2021,2,332618
user,pincode,121004,2021,2,328000
user,pincode,560078,2021,2,325334
user,state,maharashtra,2021,3,42581217
user,state,uttar pradesh,2021,3,34151882
user,state,karnataka,2021,3,27614221
user,state,andhra pradesh,2021,3,21059898
user,state,rajasthan,2021,3,20499465
user,state,telangana,2021,3,19615278
user,state,west bengal,2021,3,19323278
user,state,tamil nadu,2021,3,19127440
user,state,madhya pradesh,2021,3,17210233
user,state,gujarat,2021,3,16946761
user,district,bengaluru urban,2021,3,11321012
user,district,pune,2021,3,7398336
user,district,thane,2021,3,4597394
user,district,jaipur,2021,3,4534297
user,district,mumbai suburban,2021,3,4444495
user,district,hyderabad,2021,3,3839513
user,district,ahmadabad,2021,3,3445024
user,district,rangareddy,2021,3,3310906
user,district,north twenty four parganas,2021,3,2852030
user,district,surat,2021,3,2830392
user,pincode,201301,2021,3,618043
user,pincode,110059,2021,3,520096
user,pincode,560068,2021,3,486170
user,pincode,421302,2021,3,456284
user,pincode,500072,2021,3,425197
user,pincode,122001,2021,3,412737
user,pincode,110092,2021,3,409520
user,pincode,110086,2021,3,357590
user,pincode,121004,2021,3,352312
user,pincode,560078,2021,3,346840
user,state,maharashtra,2021,4,45482506
user,state,uttar pradesh,2021,4,36617655
