level,region,year,quarter,count,amount,source,state
state,punjab,2019,1,7172137,13574490001.853222,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2019\1.json,
state,assam,2019,1,4533005,8002099536.451059,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2019\1.json,
state,jharkhand,2019,1,9387708,13627236449.278034,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2019\1.json,
state,odisha,2019,1,34031942,35427127930.698456,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2019\1.json,
state,bihar,2019,1,26356234,41502827514.52612,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2019\1.json,
state,kerala,2019,1,6469039,10235031134.849785,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2019\1.json,
state,karnataka,2019,1,86587609,117976382145.74966,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2019\1.json,
state,chandigarh,2019,1,1274476,2396032050.444029,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2019\1.json,
state,telangana,2019,1,65290702,95523262035.66321,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2019\1.json,
state,himachal pradesh,2019,1,2168718,3381481442.991081,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2019\1.json,
state,west bengal,2019,1,47626388,50164672623.87851,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2019\1.json,
state,gujarat,2019,1,24991451,35856080308.47724,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2019\1.json,
state,sikkim,2019,1,240287,457993634.3840939,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2019\1.json,
state,nagaland,2019,1,168579,441941712.41233104,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2019\1.json,
